판매ID,날짜,채널명,거래처명,대분류,중분류,제품명,색상,원가,단가,수량,할인율,매출금액,매출원가,매출이익
400,2017-01-05,매장,태화상사,오디오,블루투스 헤드폰,무선 송신기와 블루투스 헤드폰 X250,Silver,"99,396","299,988",9,0.00%,"2,699,892","894,564","1,805,328"
401,2017-01-05,매장,한미전자,음반 & 영화,영화 DVD,DVD 9 인치 플레이어 휴대용 M300,Black,"397,584","402,606",10,0.00%,"4,026,060","3,975,840","50,220"
402,2017-01-07,매장,혜성 백화점,컴퓨터,랩탑,노트북15.4W M1548,White,"418,296","909,600",10,0.00%,"9,096,000","4,182,960","4,913,040"
403,2017-01-10,매장,삼양상사,오디오,블루투스 헤드폰,무선 송신기와 블루투스 헤드폰 X250,Silver,"99,396","299,988",13,0.00%,"3,899,844","1,292,148","2,607,696"
404,2017-01-10,매장,태화상사,TV & 비디오,TV,"26"" 720p LCD HDTV M140",White,"259,344","563,964",5,0.00%,"2,819,820","1,296,720","1,523,100"
405,2017-01-11,매장,동광통상,컴퓨터,랩탑,노트북13.3 M3000,Red,"110,124","456,000",3,0.00%,"1,368,000","330,372","1,037,628"
406,2017-01-13,매장,신세기상사,오디오,블루투스 헤드폰,차세대 스테레오 블루투스 헤드폰 M370,Yellow,"11,004","159,588",2,0.00%,"319,176","22,008","297,168"
407,2017-01-15,매장,이화무역,휴대폰,스마트 폰,스마트 폰 E100(카메라없음),Pink,"258,180","260,325",2,0.00%,"520,650","516,360","4,290"
408,2017-01-18,매장,언더우드상사,휴대폰,스마트 폰,8G 메모리 스마트 폰 M400,Gold,"148,440","322,800",5,0.00%,"1,614,000","742,200","871,800"
409,2017-01-21,매장,태성무역,TV & 비디오,TV,"52"" LCD HDTV X790W",White,"516,456","1,910,640",8,0.00%,"15,285,120","4,131,648","11,153,472"
410,2017-01-22,매장,오성통상,음반 & 영화,영화 DVD,DVD 55 DVD 저장 바인더 M56,Black,"196,800","200,328",10,0.00%,"2,003,280","1,968,000","35,280"
411,2017-01-25,매장,미림 백화점,카메라 & 캠코더,캠코더,Social Videographer 1/3'' 8.5mm E200,Grey,"100,944","198,000",1,0.00%,"198,000","100,944","97,056"
412,2017-01-25,매장,샤론통상,컴퓨터,프로젝트 & 스크린,프로젝트 720p DLP56,Black,"385,728","838,800",3,0.00%,"2,516,400","1,157,184","1,359,216"
413,2017-01-28,매장,태강교역,오디오,블루투스 헤드폰,블루투스 액티브 헤드폰 E202,Silver,"397,584","406,296",7,0.00%,"2,844,072","2,783,088","60,984"
414,2017-01-29,매장,월드링크,TV & 비디오,TV,"40"" LCD HDTV M690",White,"471,120","1,421,964",1,0.00%,"1,421,964","471,120","950,844"
415,2017-02-02,매장,한진무역,컴퓨터,컴퓨터 액세서리,블루투스 노트북 마우스 X305,White,"59,640","180,000",3,10.00%,"540,000","178,920","361,080"
416,2017-02-03,매장,신영상사,카메라 & 캠코더,카메라 & 캠코더 액세서리,변환 렌즈 M550,Black,"113,124","246,000",3,10.00%,"738,000","339,372","398,628"
417,2017-02-04,매장,진흥,컴퓨터,랩탑,노트북12 M2002,Red,"528,188","634,210",5,10.00%,"3,171,050","2,640,940","530,110"
418,2017-02-04,매장,서주무역,휴대폰,스마트 폰,스마트 폰 E100(카메라없음),Pink,"78,924","154,800",1,10.00%,"154,800","78,924","75,876"
419,2017-02-07,매장,대한상사,컴퓨터,프로젝트 & 스크린,프로젝트 720p DLP56,Black,"385,728","838,800",4,10.00%,"3,355,200","1,542,912","1,812,288"
420,2017-02-08,매장,신성무역,오디오,블루투스 헤드폰,차세대 스테레오 블루투스 헤드폰 M370,Yellow,"11,004","159,588",8,10.00%,"1,276,704","88,032","1,188,672"
421,2017-02-10,매장,미림상사,음반 & 영화,영화 DVD,DVD 9 인치 플레이어 휴대용 M300,Black,"317,584","398,627",9,10.00%,"3,587,643","2,858,256","729,387"
422,2017-02-10,매장,베네디스,컴퓨터,랩탑,노트북19W M0196,Blue,"516,456","1,558,800",1,10.00%,"1,558,800","516,456","1,042,344"
423,2017-02-11,매장,협우상사,휴대폰,스마트 폰,스마트 폰 E100(카메라없음),Pink,"158,180","265,549",16,10.00%,"4,248,784","2,530,880","1,717,904"
424,2017-02-14,매장,ABC상사,TV & 비디오,TV,"26"" 720p LCD HDTV M140",White,"259,344","563,964",9,10.00%,"5,075,676","2,334,096","2,741,580"
425,2017-02-16,매장,대진상사,음반 & 영화,영화 DVD,DVD 12인치 플레이어 휴대용 M400,Silver,"18,288","215,988",2,10.00%,"431,976","36,576","395,400"
426,2017-02-21,매장,금강,컴퓨터,프로젝트 & 스크린,프로젝트 720p DLP56,Black,"385,728","838,800",2,10.00%,"1,677,600","771,456","906,144"
427,2017-02-22,매장,우주전산,휴대폰,스마트 폰,PDA Handheld 4.7 inch L650,Black,"154,656","466,800",5,10.00%,"2,334,000","773,280","1,560,720"
428,2017-02-22,매장,ITM,컴퓨터,랩탑,노트북12 M2002,Red,"250,836","441,600",16,10.00%,"7,065,600","4,013,376","3,052,224"
429,2017-02-23,매장,양정물산,컴퓨터,랩탑,노트북15.4W M1548,White,"418,296","909,600",8,10.00%,"7,276,800","3,346,368","3,930,432"
430,2017-02-25,카탈로그,투프린트,컴퓨터,프로젝트 & 스크린,스크린 85in E1010,Black,"85,044","166,800",16,10.00%,"2,668,800","1,360,704","1,308,096"
431,2017-02-28,매장,세종물산,오디오,블루투스 헤드폰,무선 송신기와 블루투스 헤드폰 X250,Silver,"99,396","299,988",3,10.00%,"899,964","298,188","601,776"
432,2017-03-01,매장,글로리아 백화정,컴퓨터,랩탑,노트북12 M2002,Red,"250,836","441,600",3,20.00%,"1,324,800","752,508","572,292"
433,2017-03-02,매장,동도교역,휴대폰,스마트 폰,8G 메모리 스마트 폰 M400,Gold,"148,440","322,800",4,20.00%,"1,291,200","593,760","697,440"
434,2017-03-03,매장,알프스무역,컴퓨터,랩탑,노트북12 M2002,Red,"250,836","441,600",8,20.00%,"3,532,800","2,006,688","1,526,112"
435,2017-03-03,온라인,k마켓,TV & 비디오,TV,"52"" LCD HDTV X790W",White,"11,004","1,910,640",3,20.00%,"5,731,920","33,012","5,698,908"
436,2017-03-04,대리점,명성,TV & 비디오,TV,"32"" LCD HDTV M130",Silver,"472,368","599,988",10,20.00%,"5,999,880","4,723,680","1,276,200"
437,2017-03-05,매장,삼화상사,TV & 비디오,TV,"52"" LCD HDTV X790W",White,"115,020","1,910,640",7,20.00%,"13,374,480","805,140","12,569,340"
438,2017-03-05,대리점,가나전자,컴퓨터,랩탑,노트북13.3 M3000,Red,"110,124","456,000",1,20.00%,"456,000","110,124","345,876"
439,2017-03-05,매장,오성통상,컴퓨터,컴퓨터 액세서리,대용량 배터리 M800,Grey,"15,396","33,480",1,20.00%,"33,480","15,396","18,084"
440,2017-03-07,매장,신영상사,휴대폰,스마트 폰,스마트 폰 E100(카메라없음),Pink,"208,180","264,377",1,20.00%,"264,377","208,180","56,197"
441,2017-03-10,매장,혜성 백화점,컴퓨터,컴퓨터 액세서리,대용량 배터리 M800,Grey,"15,396","33,480",3,20.00%,"100,440","46,188","54,252"
442,2017-03-11,매장,삼양상사,휴대폰,스마트 폰,8G 메모리 스마트 폰 M400,White,"148,440","322,800",10,20.00%,"3,228,000","1,484,400","1,743,600"
443,2017-03-11,매장,유미백화점,컴퓨터,컴퓨터 액세서리,대용량 배터리 M800,Grey,"15,396","33,480",9,20.00%,"301,320","138,564","162,756"
444,2017-03-15,온라인,J마켓,TV & 비디오,TV,"52"" LCD HDTV X790W",White,"115,020","1,910,640",1,20.00%,"1,910,640","115,020","1,795,620"
445,2017-03-15,매장,신세기상사,카메라 & 캠코더,캠코더,"Trendsetter 1"" 25mm X400",Blue,"397,584","1,200,000",10,20.00%,"12,000,000","3,975,840","8,024,160"
446,2017-03-16,대리점,명성,컴퓨터,컴퓨터 액세서리,블루투스 노트북 마우스 X305,Grey,"59,640","180,000",9,20.00%,"1,620,000","536,760","1,083,240"
447,2017-03-17,매장,언더우드상사,TV & 비디오,TV,"52"" LCD HDTV X790W",White,"516,456","1,910,640",3,20.00%,"5,731,920","1,549,368","4,182,552"
448,2017-03-17,매장,이화무역,오디오,블루투스 헤드폰,무선 송신기와 블루투스 헤드폰 X250,Silver,"99,396","299,988",5,20.00%,"1,499,940","496,980","1,002,960"
449,2017-03-17,매장,동광통상,휴대폰,스마트 폰,8G 메모리 스마트 폰 M400,Gold,"148,440","322,800",1,20.00%,"322,800","148,440","174,360"
450,2017-03-19,매장,혜성 백화점,TV & 비디오,TV,"40"" LCD HDTV M690",White,"471,120","1,421,964",30,20.00%,"42,658,920","14,133,600","28,525,320"
451,2017-03-20,매장,태성무역,휴대폰,스마트 폰,스마트 폰 E100(카메라없음),Pink,"158,180","266,571",10,20.00%,"2,665,710","1,581,800","1,083,910"
